# File: A322.sector.csv
# Title: ammonia / traded ammonia / regional ammonia / N fertilizer default supplysector information (units and logit exponents)
# Units: Units-in-table
<<<<<<< HEAD
# Column types: ccccnncc 
=======
# Column types: ccccincc 
>>>>>>> master
# ----------
supplysector,output.unit,input.unit,price.unit,traded,logit.exponent,final.energy,logit.type
ammonia,Mt NH3,EJ,1975$/kgNH3,0,-3,industry,
traded ammonia,Mt NH3,Mt NH3,1975$/kgNH3,1,-3,,
regional ammonia,Mt NH3,Mt NH3,1975$/kgNH3,0,-3,,
N fertilizer,Mt N,Mt NH3,1975$/kgN,0,-3,,
ammonia energy,EJ,Mt NH3,1975$/GJ,0,-3,,
